nation,missiles_used,others_cured,hordes_used,others_zombified,tzes_used,others_killed,hit_by_missiles,cured_by_others,hit_by_hordes,zombified_by_others,hit_by_tzes,killed_by_others,min_time
-tim-opolis,0,0,0,0,0,0,0,0,2,33,0,0,0
20211203,0,0,3,1022,0,0,0,0,0,0,0,0,60
86-land,0,0,0,0,0,0,19,182,0,0,0,0,0
a_once_great_nation,0,0,0,0,0,0,88,6746,0,0,0,0,0
a_wicked_place,0,0,0,0,0,0,0,0,1,639,0,0,0
aandruzognivia,0,0,64,4893,6,14,2,129,22,74,18,653,1400
abbagagania,114,4750,1,290,0,0,73,10390,0,0,0,0,2300
achrocka_sublep,0,0,0,0,0,0,12,99,0,0,0,0,0
adificia,4,29,0,0,0,0,1,1,0,0,0,0,80
adong,0,0,2,2,0,0,0,0,0,0,0,0,40
aengloland,0,0,0,0,0,0,64,15918,0,0,0,0,0
aeterno_tranquillitas,0,0,0,0,0,0,137,8788,0,0,0,0,0
afforestation,0,0,0,0,0,0,19,2137,0,0,0,0,0
aftokratoria,0,0,11,233,0,0,0,0,0,0,0,0,220
aicrowian_canada,0,0,10,334,0,0,0,0,0,0,0,0,200
akstrija,0,0,0,0,0,0,7,109,0,0,0,0,0
alcantaria,0,0,0,0,0,0,90,21624,0,0,0,0,0
aldaranian_hellers,4,7,0,0,0,0,17,172,0,0,0,0,80
alterrum,0,0,0,0,0,0,102,13509,1,737,0,0,0
amazon_rainforest,0,0,0,0,0,0,126,16363,0,0,0,0,0
amongussyland,1,1,0,0,0,0,0,0,0,0,0,0,20
amphibian_manifesto,0,0,4,4,0,0,0,0,0,0,0,0,80
anequina-pellitine,660,65147,0,0,0,0,242,8063,1,122,0,0,13200
anodega,0,0,0,0,0,0,17,289,0,0,0,0,0
anti-hell,0,0,0,0,2,2,0,0,0,0,0,0,40
ants,0,0,0,0,0,0,67,7772,0,0,0,0,0
ao_diplomatic_mission,0,0,0,0,0,0,43,79,0,0,0,0,0
archadon,0,0,0,0,0,0,15,1039,0,0,0,0,0
archenomia,0,0,0,0,0,0,134,46619,0,0,1,2,0
asmira_central,0,0,0,0,0,0,52,6701,0,0,0,0,0
astmora,0,0,0,0,0,0,34,4564,0,0,0,0,0
atsvea,135,32664,0,0,0,0,191,30827,1,290,0,0,2700
avian_empire,191,16209,0,0,0,0,27,897,0,0,0,0,3820
azaffran,0,0,0,0,0,0,36,5814,0,0,0,0,0
azure_haven,586,48016,0,0,0,0,223,4672,0,0,0,0,11720
azyl,0,0,0,0,0,0,102,1414,0,0,0,0,0
baigo,0,0,0,0,0,0,14,713,0,0,0,0,0
balkvla_islands,0,0,0,0,0,0,140,8770,0,0,0,0,0
